序号,内部编号,代码,名称,最新价,涨跌额,涨跌幅,今开,最高,最低,昨收,成交量,成交额
21,124,HSSCPB,恒生港股通创新药精选指数,1322.66,42.59,3.33,1290.64,1324.57,1278.55,1280.07,0.0,3239681248.0
22,124,HSTECHF,恒生科技指期货指数,1233.27,39.63,3.32,1205.73,1236.95,1185.55,1193.64,0.0,
23,124,HSTECHT,恒生科技指数股息累计指数,3832.06,120.2,3.24,3750.8,3840.16,3682.29,3711.86,0.0,28918573056.0
24,124,HSTECH,恒生科技指数,3503.17,109.88,3.24,3428.89,3510.57,3366.26,3393.29,934706896.0,28918573056.0
25,124,HSTECHN,恒生科技指数净股息累计指数,3831.24,120.16,3.24,3750.0,3839.34,3681.51,3711.08,0.0,28918573056.0
26,124,HSSCID,恒生港股通创新药指数,1892.0,58.7,3.2,1846.91,1894.67,1829.46,1833.3,0.0,3188529248.0
27,124,HSAIT,恒生人工智能主题指数,2511.68,76.95,3.16,2462.93,2516.02,2422.99,2434.73,0.0,28421317120.0
28,124,HSCEF2L,恒生中国企业期货2倍杠杆指数,4667.32,142.73,3.15,4564.43,4679.09,4433.79,4524.59,0.0,
29,124,HSCARI,恒生A股机器人主题指数,4326.49,128.77,3.07,4180.38,4326.49,4161.89,4197.72,0.0,22315465984.0
30,124,HSSCCI,恒生港股通消费行业(可投资),1614.3,47.83,3.05,1591.94,1618.18,1571.34,1566.47,0.0,18958658048.0
31,124,HSCSSE,恒生A股专精特新企业指数,4520.84,132.68,3.02,4363.4,4520.84,4347.6,4388.16,0.0,25240159488.0
32,124,HSSCESI,恒生港股通医疗保健(可投资),812.76,23.45,2.97,786.48,814.97,778.66,789.31,0.0,566391824.0
33,124,HSHKBIO,恒生香港上市生物科技指数,874.93,25.23,2.97,854.37,876.39,845.67,849.7,0.0,3782121344.0
34,124,HSCAAI,恒生A股汽车指数,5081.67,145.21,2.94,4934.75,5082.26,4934.75,4936.46,0.0,26034957568.0
35,124,HSSCHES,恒生港股通医疗保健设备和服务,813.27,22.99,2.91,788.32,815.63,780.02,790.28,0.0,571005616.0
36,124,HSCEI2LI,恒生国指股息累计2倍杠杆指数,3224.91,91.07,2.91,3151.55,3238.76,3071.28,3133.84,0.0,
37,124,HSCEILI,恒生国企杠杆指数,974.26,27.51,2.91,952.1,978.44,927.85,946.75,0.0,
38,124,HSSCPOE,恒生港股通中国民企指数,2162.37,60.36,2.87,2125.22,2166.25,2089.0,2102.01,0.0,28387391744.0
39,124,HSSCC,恒生港股通消费行业指数,1594.47,44.13,2.85,1573.09,1598.0,1552.82,1550.34,0.0,19277602816.0
40,124,HSSCHI,恒生港股通中国内地医疗保健指数,1920.2,52.79,2.83,1875.93,1923.5,1855.59,1867.41,0.0,3657347392.0
41,124,HSHCI,恒生医疗保健指数,2470.23,65.92,2.74,2415.63,2473.94,2391.57,2404.31,0.0,4694245376.0
42,124,HSCICH,恒生医疗保健业指数,7915.39,206.58,2.68,7746.65,7926.77,7665.23,7708.81,0.0,4694245376.0
43,124,HSSCPBI,恒生港股通药品及生技(可投资),1335.21,34.5,2.65,1307.44,1337.24,1294.52,1300.71,0.0,4120398432.0
44,125,H11144,HKT内地消费,964.7,22.69,2.41,950.03,967.41,934.42,942.01,6447230.0,23079707648.0
45,124,HSCAICE,恒生A股工业零件及器材指数,3219.74,75.68,2.41,3125.58,3219.74,3112.42,3144.06,0.0,33168810496.0
46,124,HSPOE,恒生中国民企指数,2440.03,57.35,2.41,2401.6,2444.54,2358.4,2382.68,0.0,34117225216.0
47,124,HSBANE,恒生沪深港通大湾区新经济指数,4898.87,112.26,2.35,4782.17,4899.57,4767.75,4786.61,0.0,64681590272.0
48,124,HSCCNFI,恒生沪深港通中国新基建指数,3996.33,89.72,2.3,3891.48,3999.04,3859.54,3906.61,0.0,69347356672.0
49,124,HSCMI,恒生中国元宇宙指数,3691.08,82.09,2.27,3594.88,3691.87,3577.61,3608.99,0.0,26821362176.0
50,124,HSCSS50,恒生A股专精特新50指数,1727.28,38.06,2.25,1679.58,1727.28,1674.48,1689.22,0.0,11763723776.0
51,124,HSNCON,恒生新消费指数,3427.58,74.99,2.24,3388.36,3436.27,3325.28,3352.59,0.0,26439334400.0
52,124,HSBAI50,恒生沪深港通大湾区创新50指数,5066.99,110.01,2.22,4951.74,5067.09,4933.71,4956.98,0.0,32286809600.0
53,124,HSCANEM,恒生A股新能源物料指数,5136.11,111.09,2.21,5002.6,5136.11,4983.62,5025.02,0.0,14900399104.0
54,124,HSHBI,恒生增幅指数,2781.02,59.25,2.18,2737.76,2786.3,2682.16,2721.77,714271552.0,25303503616.0
55,124,HSCESGE,恒生国指ESG增强指数,3163.32,66.36,2.14,3118.55,3169.77,3065.97,3096.96,0.0,41261904128.0
56,124,HSCAIE,恒生A股创业指数,5774.93,120.2,2.13,5631.05,5774.93,5625.06,5654.73,0.0,45458862592.0
57,124,HSCACSI,恒生A股充电桩基础设施主题指数,6963.77,144.06,2.11,6792.35,6963.77,6760.01,6819.71,0.0,12785984256.0
58,124,HSCAAD,恒生A股航空航天与国防指数,3676.24,73.43,2.04,3580.07,3676.24,3572.64,3602.81,0.0,7243509760.0
59,124,HSCASUS,恒生A股可持续发展企业指数,2838.25,56.63,2.04,2777.47,2838.25,2773.88,2781.62,0.0,36461404672.0
60,124,HSFCCI,恒生外国公司综合指数,3126.21,59.97,1.96,3126.21,3126.21,3126.21,3066.24,0.0,1676645040.0
61,124,HSCAP,恒生A股地产指数,1471.17,28.01,1.94,1436.05,1471.17,1432.79,1443.16,0.0,7136265984.0
62,124,HSCAUPG,恒生A股电网设备指数,5315.66,98.68,1.89,5193.69,5315.66,5173.35,5216.98,0.0,21673798144.0
63,124,HSSSHID,恒生沪深港创新药精选50指数,5353.92,98.4,1.87,5265.47,5356.28,5239.23,5255.52,0.0,15199511296.0
64,124,HSSCSI,恒生港股通软件及半导体(可投资),1235.78,22.63,1.87,1212.11,1239.44,1178.6,1213.15,0.0,15193154560.0
65,124,HSILI,恒指杠杆指数,5159.62,94.44,1.86,5071.3,5182.66,4954.19,5065.18,0.0,
66,124,HSSCITI,恒生港股通资讯科技业(可投资),1483.68,26.98,1.85,1455.14,1487.62,1418.13,1456.7,0.0,17925687808.0
67,124,HSSCSS,恒生港股通软件及半导体指数,1233.69,22.42,1.85,1210.23,1237.52,1176.9,1211.27,0.0,15198357248.0
68,124,HSU,恒生公用事业指数,34579.36,627.96,1.85,33921.46,34673.41,33880.15,33951.4,46781308.0,1197180320.0
69,124,HSUNTRI,恒生公用事业分类指数(NTR),142733.17,2592.02,1.85,140017.57,143121.37,139847.06,140141.15,0.0,1197180320.0
70,124,HSUGTRI,恒生公用事业分类指数(GTR),142848.48,2594.11,1.85,140130.69,143236.99,139960.03,140254.37,0.0,1197180320.0
71,124,HSSCIT,恒生港股通资讯科技业指数,1479.91,26.44,1.82,1451.95,1484.07,1415.14,1453.47,0.0,17945370624.0
72,124,HSSCT,恒生港股通中国科技指数,3832.0,68.42,1.82,3756.14,3843.58,3663.64,3763.58,0.0,17989459968.0
73,125,H11152,内地民营,1065.69,18.8,1.8,1051.1,1067.63,1032.1,1046.89,7221884.0,33245090048.0
74,124,HSCAOF,恒生A股其他金融指数,2521.06,44.19,1.78,2474.78,2521.06,2474.16,2476.87,0.0,33029419520.0
75,124,HSCASC,恒生A股特殊化工用品指数,3304.23,57.78,1.78,3239.73,3304.23,3229.83,3246.45,0.0,14747113472.0
76,124,HSSSHGO,恒生沪深港基因及肿瘤学指数,3996.39,69.58,1.77,3934.98,4000.5,3907.1,3926.81,0.0,9838304512.0
77,124,HSCASCI,恒生A股规模全选指数,2870.61,49.64,1.76,2810.85,2870.61,2805.2,2820.97,0.0,417424424960.0
78,124,HSBAI,恒生沪深港通大湾区工业指数,3778.07,65.26,1.76,3695.82,3779.06,3682.36,3712.81,0.0,19666079744.0
79,124,HSCEIEK,恒生国指ESG韩元每日重置,1541.8,26.03,1.72,1541.8,1541.8,1541.8,1515.77,0.0,
80,124,HSCEIESG,恒生国指ESG指数,1672.8,28.23,1.72,1651.56,1676.85,1631.71,1644.57,0.0,45379899392.0
81,124,HSCEEKH,恒生国指ESG韩元对冲指数,1640.34,27.62,1.71,1640.34,1640.34,1640.34,1612.72,0.0,
82,124,HSCELKER,恒生国指1.2倍韩元重置额外回报,658.88,11.07,1.71,658.88,658.88,658.88,647.81,0.0,
83,124,HSCAPI,恒生A股药品指数,2489.52,41.37,1.69,2441.6,2489.52,2435.41,2448.15,0.0,11180418816.0
84,124,HSCEENKH,恒生国指ESG韩元对冲40逐减,515.33,8.55,1.69,515.33,515.33,515.33,506.78,0.0,
85,124,HSFML25,恒生中国内地25,5931.48,97.3,1.67,5863.39,5943.94,5800.19,5834.18,1384964528.0,31535719168.0
86,124,HSCASSI,恒生A股规模智选指数,2832.81,46.07,1.65,2776.97,2832.81,2772.09,2786.74,0.0,243400163328.0
87,124,HSBAGFZ,恒生沪深港通大湾区广佛肇指数,2863.67,46.46,1.65,2816.77,2864.45,2807.03,2817.21,0.0,14693493504.0
88,124,HSCAII,恒生A股(可投资)指数,1897.17,30.6,1.64,1859.68,1897.17,1857.07,1866.57,0.0,527962013696.0
89,124,HSBACG,恒生沪深港通大湾区消费品指数,6410.28,102.61,1.63,6308.82,6413.33,6292.53,6307.67,0.0,19920025088.0
90,124,HSCENCC,国指NTR备兑认购期权指数,7164.85,112.85,1.6,7039.28,7179.93,6975.35,7052.0,0.0,
91,124,HSCECC,国指备兑认购期权指数,4006.87,63.11,1.6,3936.64,4015.3,3900.9,3943.76,0.0,
92,124,HSCAOMM,恒生A股其他金属及矿物指数,3195.25,50.09,1.59,3128.98,3195.25,3122.8,3145.16,0.0,10665711616.0
93,124,HSCAE50,恒生A股通ESG50指数,9118.24,142.0,1.58,8953.32,9118.24,8944.2,8976.24,0.0,52645412608.0
94,124,HSCEFI,恒生中国企业期货指数,7379.41,114.3,1.57,7296.81,7388.86,7191.92,7265.11,0.0,
95,124,HSCEFKH,恒生国指韩元对冲3.4%逐减总回报,1280.31,19.83,1.57,1280.31,1280.31,1280.31,1260.48,0.0,
96,124,HSCAESU,恒生A股能源储存装置指数,3817.4,59.02,1.57,3742.13,3817.4,3729.2,3758.38,0.0,13299627520.0
97,125,CES280,中华280,5683.96,87.82,1.57,5576.11,5687.29,5557.51,5596.14,0.0,149702647808.0
98,124,HSSCB50,恒生沪深港通生物科技50指数,3472.3,53.22,1.56,3418.27,3473.85,3404.16,3419.08,0.0,19226728960.0
99,124,HSCEFRFI,恒生中国企业期货人民币外汇指数,6361.85,96.35,1.54,6291.47,6370.1,6201.14,6265.5,0.0,
100,124,HSSNCON,恒生沪深港消费指数,5226.46,78.75,1.53,5168.24,5232.07,5131.21,5147.71,0.0,47642617856.0
101,124,HSCAQCI,恒生A股质量全选指数,3251.5,48.58,1.52,3190.22,3251.5,3185.76,3202.92,0.0,417424424960.0
102,124,HSCAMCI,恒生A股动量全选指数,3876.41,57.58,1.51,3804.62,3876.41,3798.73,3818.83,0.0,417424424960.0
103,124,HSCEJPYH,恒生国指日圆对冲指数,394.71,5.8,1.49,394.71,394.71,394.71,388.91,0.0,
104,124,HSCADII,恒生A股防御行业指数,6176.92,89.27,1.47,6059.18,6176.92,6056.36,6087.65,0.0,60108893440.0
105,124,HSCEIQHK,恒生国指港韩元汇率连动调控指数,799.49,11.51,1.46,799.49,799.49,799.49,787.98,0.0,
106,100,HSCEI,国企指数,5806.9,83.54,1.46,5739.84,5819.55,5666.58,5723.36,2499435312.0,45379899392.0
107,124,HSCEIGTRI,恒生中国企业指数(GTR),13442.09,193.37,1.46,13286.86,13471.39,13117.27,13248.72,0.0,45379899392.0
108,124,HSCESI,恒生中国企业精明指数,8341.25,119.99,1.46,8244.92,8359.69,8139.81,8221.26,0.0,45379899392.0
109,124,HSCEINTRI,恒生中国企业指数(NTR),12781.22,183.85,1.46,12633.63,12809.08,12472.38,12597.37,0.0,45379899392.0
110,124,HSCEEURDH,恒生国指欧罗每日对冲指数,1451.75,20.87,1.46,1451.75,1451.75,1451.75,1430.88,0.0,
111,124,HSCEKRWH,恒生国指韩元对冲指数,469.81,6.74,1.46,469.81,469.81,469.81,463.07,0.0,
112,124,HSCEGBPH,恒生国指英镑对冲指数,433.61,6.22,1.46,433.61,433.61,433.61,427.39,0.0,
113,124,HSCEER,恒生国指每日重置额外回报指数,1387.62,19.79,1.45,1387.62,1387.62,1387.62,1367.83,0.0,
114,124,HSCEKER,恒生国指韩每日重置额外回报指数,1302.54,18.57,1.45,1302.54,1302.54,1302.54,1283.97,0.0,
115,124,HSABA,恒生A股通大湾区指数,3580.72,50.98,1.44,3522.07,3580.72,3516.5,3529.74,0.0,54123584768.0
116,124,HSCEKDER,韩元每日重置3.25%递减,1123.16,15.96,1.44,1123.16,1123.16,1123.16,1107.2,0.0,
117,124,HSCEEURH,恒生国指欧罗对冲指数,397.89,5.63,1.44,397.89,397.89,397.89,392.26,0.0,
118,124,HSCAQSI,恒生A股质量智选指数,3375.04,47.71,1.43,3313.54,3375.04,3309.84,3327.33,0.0,264358260736.0
119,124,HSCERMBH,恒生国指人民币对冲指数,502.6,7.1,1.43,502.6,502.6,502.6,495.5,0.0,
120,124,HSCEKHD,恒生国指净股息韩元对冲400逐减,5140.93,72.54,1.43,5140.93,5140.93,5140.93,5068.39,0.0,
