代码,名称,最新价,涨跌额,涨跌幅,昨收,今开,最高,最低,成交量,成交额
sh000906,中证800,3795.1637,54.196,1.449,3740.9679,3726.4363,3795.1637,3722.1458,278499997,401690317981
sh000913,300医药,8351.2602,76.343,0.923,8274.9168,8248.1552,8351.2602,8229.6429,3838177,15247426294
sh000914,300金融,5064.0426,24.511,0.486,5039.5315,5030.152,5075.5042,5024.2919,39560342,37158245692
sh000928,中证能源,3108.2171,10.364,0.335,3097.8532,3083.9046,3127.6478,3069.7966,12600406,12696364113
sh000932,中证消费,17206.2993,50.815,0.296,17155.4843,17072.6491,17206.2993,17061.5513,5234673,17485962125
sh000933,中证医药,8298.9525,77.213,0.939,8221.7396,8195.695,8298.9525,8177.5521,9314017,25994069052
sh000934,中证金融,4788.4983,31.657,0.666,4756.8411,4747.3001,4791.8321,4743.7147,63309401,52590641230
sh000935,中证信息,3602.9875,148.66,4.304,3454.3273,3431.9429,3602.9875,3423.6631,39133955,95449810873
sh000974,800金融,5261.0602,32.747,0.626,5228.3128,5219.1529,5268.2695,5214.5944,57580717,47996535647
sh000982,500等权,6603.1664,127.642,1.971,6475.5245,6452.5823,6603.1664,6432.8199,138971751,157201596730
sh000986,全指能源,2526.9658,10.294,0.409,2516.6718,2506.2913,2540.1474,2494.1526,18044843,15993869792
sh000987,全指材料,3012.4822,34.564,1.161,2977.918,2968.0832,3012.4822,2962.0434,37889710,37560538013
sh000989,全指可选,4434.7955,95.987,2.212,4338.809,4335.46,4434.7955,4331.3626,31398465,52278933000
sh000991,全指医药,8882.6142,94.89,1.08,8787.7246,8759.8224,8882.6142,8739.1767,11657228,31792753106
sh000992,全指金融,4585.6769,33.695,0.74,4551.9822,4542.2769,4585.6769,4538.4705,87547411,63651829843
sh000993,全指信息,4728.7123,197.249,4.353,4531.4637,4502.3463,4728.7123,4492.3739,52818020,115907244692
sz399001,深证成指,9269.568,203.481,2.244,9066.087,9032.259,9269.568,9016.607,53339610227,577389504457
sz399002,深成指R,11953.154,262.389,2.244,11690.765,11647.144,11953.154,11626.961,15667918191,246927777530
sz399003,成份Ｂ指,7108.239,32.208,0.455,7076.031,7072.987,7115.724,7071.614,12921861,72604315
sz399004,深证100R,5610.949,103.402,1.877,5507.547,5488.719,5610.949,5483.84,4476800885,104942772923
sz399005,中小100,5741.212,137.773,2.459,5603.439,5580.259,5741.212,5569.641,3872115272,64193844263
sz399006,创业板指,1793.979,42.276,2.413,1751.703,1743.49,1793.979,1740.833,18662735211,264736013370
sz399007,深证300,3920.952,80.899,2.107,3840.053,3825.387,3920.952,3819.604,10340318561,193072821089
sz399008,中小300,1153.029,27.777,2.469,1125.252,1120.667,1153.029,1118.186,8524903134,107444136084
sz399009,深证200,3419.588,85.699,2.571,3333.889,3318.452,3419.588,3308.557,5863517676,88130048165
sz399010,深证700,5975.005,167.959,2.892,5807.046,5783.279,5975.005,5762.661,15656592868,159443232024
sz399011,深证1000,4486.637,102.903,2.347,4383.734,4366.624,4486.637,4357.791,25996911429,352516053113
sz399012,创业300,2617.936,72.227,2.837,2545.709,2533.625,2617.936,2528.035,7144888487,134292030773
sz399013,深市精选,4157.564,88.016,2.163,4069.548,4055.821,4157.564,4047.227,12504535009,181130749986
sz399015,中小创新,2016.306,55.276,2.819,1961.03,1951.833,2016.306,1943.84,10328993238,105588275583
sz399016,深证创新,3575.92,106.664,3.075,3469.256,3452.575,3575.92,3441.065,3373589785,87556141557
sz399017,SME创新,3048.707,90.249,3.051,2958.458,2945.912,3048.707,2936.836,2658262862,54860583121
sz399018,创业创新,3669.177,108.189,3.038,3560.988,3540.167,3669.177,3526.138,1751415684,55812580083
sz399019,创业200,2883.049,106.555,3.838,2776.494,2762.857,2883.049,2750.568,5209923569,62983920405
sz399020,创业小盘,1150.015,34.471,3.09,1115.544,1109.72,1150.015,1103.325,4009200197,46324141262
sz399030,碳科技30,2581.777,45.467,1.793,2536.31,2523.877,2581.777,2516.141,478766573,16681598541
sz399050,创新引擎,2220.128,50.327,2.319,2169.801,2161.662,2220.128,2158.218,1866664817,35292508066
sz399060,碳科技60,2235.817,43.491,1.984,2192.326,2185.396,2235.817,2180.781,1745922934,46087438631
sz399088,深创100,2977.254,69.235,2.381,2908.019,2896.279,2977.254,2891.871,3950525356,105357221308
sz399100,新指数,8041.674,181.959,2.315,7859.715,7828.552,8041.674,7808.084,52054689362,573308879987
sz399101,中小综指,9844.378,229.697,2.389,9614.681,9579.881,9844.378,9553.241,21365685983,194278136948
sz399102,创业板综,2302.602,64.539,2.884,2238.063,2226.162,2302.602,2219.26,18662735211,264736013370
sz399103,乐富指数,6213.046,101.323,1.658,6111.723,6101.357,6213.046,6090.542,23457840823,25290119244
sz399106,深证综指,1716.578,39.426,2.351,1677.152,1670.341,1716.578,1665.723,53339610227,577389504457
sz399107,深证Ａ指,1795.536,41.288,2.354,1754.248,1747.113,1795.536,1742.277,53316211124,577292367129
sz399108,深证Ｂ指,1069.823,7.028,0.661,1062.795,1062.51,1070.565,1061.583,23399103,97137328
sz399231,农林指数,1237.983,23.362,1.923,1214.621,1211.651,1245.595,1209.457,355529039,3494416995
sz399232,采矿指数,2427.218,34.148,1.427,2393.07,2380.666,2427.218,2377.073,501758922,4855826570
sz399233,制造指数,2175.627,51.175,2.409,2124.452,2115.93,2175.627,2109.684,30749173426,374637958838
sz399234,水电指数,792.321,8.589,1.096,783.732,780.119,792.321,776.92,923435329,5111385557
sz399235,建筑指数,928.145,25.739,2.852,902.406,896.214,928.145,892.224,970195621,8391507438
sz399236,批零指数,1119.805,27.621,2.529,1092.184,1087.457,1119.805,1082.418,1543972662,12339156313
sz399237,运输指数,935.988,4.915,0.528,931.073,930.185,937.859,927.615,506320771,4255639730
sz399238,餐饮指数,1412.868,40.875,2.979,1371.993,1370.536,1418.368,1358.06,91186099,533835469
sz399239,IT指数,1474.677,65.546,4.652,1409.131,1400.694,1474.677,1395.396,7621324773,92135459928
sz399240,金融指数,1076.393,19.485,1.844,1056.908,1057.511,1076.393,1057.37,2099814664,19495299853
sz399241,地产指数,1252.247,23.213,1.889,1229.034,1222.897,1252.247,1218.236,1493829842,5262591056
sz399242,商务指数,998.823,24.198,2.483,974.625,972.358,999.317,967.946,2064350945,13480642834
sz399243,科研指数,1160.041,22.372,1.966,1137.669,1130.976,1160.041,1124.277,543631445,7542676914
sz399244,公共指数,485.638,8.36,1.752,477.278,475.399,485.638,472.336,618679982,3524676896
sz399248,文化指数,809.923,31.087,3.991,778.836,773.757,810.381,770.115,1154765053,12283937357
sz399249,综企指数,1285.858,45.127,3.637,1240.731,1236.73,1285.858,1224.595,44824098,347751527
sz399258,绿色低碳,2785.736,50.788,1.857,2734.948,2728.78,2785.736,2724.029,1696868851,36492284335
sz399259,创业低碳,2778.458,51.023,1.871,2727.435,2714.451,2778.458,2701.286,972126901,17550597283
sz399260,先进制造,2417.168,56.972,2.414,2360.196,2351.297,2417.168,2348.64,2546302500,68326319223
sz399261,创业制造,3099.458,73.299,2.422,3026.159,3006.007,3099.458,2998.929,781083185,41083820952
sz399262,数字经济,1564.196,69.81,4.671,1494.386,1487.356,1564.196,1484.58,2691609080,72327235703
sz399263,创业数字,1485.308,65.307,4.599,1420.001,1414.137,1485.447,1410.823,2615041666,54272789447
sz399264,创新技术,1073.575,47.444,4.624,1026.131,1018.544,1073.575,1015.711,1410902942,28769504175
sz399265,创新药械,1112.303,16.855,1.539,1095.448,1089.836,1112.303,1087.759,531015935,10253106298
sz399266,创新能源,1998.105,35.466,1.807,1962.639,1953.022,1998.105,1946.926,663960663,19268325855
sz399269,创质量,3923.697,114.901,3.017,3808.796,3781.478,3923.697,3769.798,1109330684,45892987555
sz399274,深新基建,3262.292,141.103,4.521,3121.189,3103.449,3263.838,3094.603,2209089081,73070427797
sz399275,创医药,2948.744,39.003,1.34,2909.741,2893.085,2948.744,2887.01,495943130,11659234511
sz399276,创科技,4365.569,126.205,2.977,4239.364,4213.912,4365.569,4204.585,1554887694,44532224543
sz399277,公共健康,2432.179,51.444,2.161,2380.735,2374.622,2432.179,2368.165,808077097,14628987418
sz399278,长江100,1486.911,28.461,1.951,1458.45,1452.102,1486.911,1449.781,3547770694,72068445865
sz399279,云科技50,2714.364,127.242,4.918,2587.122,2569.969,2715.575,2563.631,2935720574,73162180830
sz399280,生物50,2354.973,31.584,1.359,2323.389,2314.573,2354.973,2307.698,440135753,9456424367
sz399281,电子50,2439.844,69.943,2.951,2369.901,2359.647,2439.867,2353.931,1918164894,23427374042
sz399282,大数据50,3641.429,212.724,6.204,3428.705,3406.949,3641.429,3398.501,2425646339,43669648058
