代码,名称,最新价,涨跌额,涨跌幅,昨收,今开,最高,最低,成交量,成交额
sz399441,生物医药,2280.432,4.53,0.199,2275.902,2270.151,2296.067,2261.624,341112867,13069056261
sz399481,企债指数,126.798,0.024,0.019,126.774,126.774,126.811,126.774,41471530,3945175207
sz399550,央视50,6756.353,8.795,0.13,6747.558,6740.839,6769.769,6705.249,1453860799,32083247419
sz399551,央视创新,7421.047,121.911,1.67,7299.136,7315.432,7439.435,7281.2,1707427272,42753531093
sz399552,央视成长,7657.222,-4.591,-0.06,7661.813,7653.993,7679.225,7611.94,1430613263,30536711730
sz399553,央视回报,6735.054,29.532,0.44,6705.522,6704.435,6746.435,6665.213,667439363,22847167819
sz399554,央视治理,6661.898,8.144,0.122,6653.754,6648.447,6671.295,6610.193,1701462559,29189762070
sz399555,央视责任,4613.835,-5.08,-0.11,4618.915,4613.812,4630.101,4587.688,1626496313,23577067819
sz399556,央视生态,2243.508,19.194,0.863,2224.314,2224.083,2246.38,2219.526,1410778834,30263347542
sz399557,央视文化,1517.313,13.674,0.909,1503.639,1502.946,1522.446,1497.051,1896219142,23908750340
sz399602,中小成长,842.928,11.146,1.34,831.782,832.399,844.381,831.194,2122335330,41163684757
sz399604,中小价值,1668.34,15.031,0.909,1653.309,1652.227,1669.89,1645.539,1955511315,19011498128
sz399606,创业板R,1949.738,18.727,0.97,1931.011,1934.868,1956.0,1920.042,1458062494,55721949016
sz399608,科技100,2455.995,36.188,1.495,2419.807,2423.459,2462.05,2414.606,2410640179,70333927175
sz399610,TMT50,5228.071,130.228,2.555,5097.843,5128.372,5240.738,5098.932,2391090307,61089935842
sz399611,中创100R,1952.245,16.261,0.84,1935.984,1938.053,1956.502,1926.081,2505155230,70665039426
sz399612,中创100,1711.582,14.257,0.84,1697.325,1699.139,1715.314,1688.643,2505155230,70665039426
sz399613,深证能源,3311.159,4.13,0.125,3307.029,3305.999,3319.229,3259.348,277007646,2227887909
sz399614,深证材料,2524.003,22.124,0.884,2501.879,2504.918,2527.95,2490.591,2509204143,25101168566
sz399615,深证工业,2646.064,32.495,1.243,2613.569,2614.288,2650.948,2607.071,2579353602,44965664685
sz399616,深证可选,5197.03,22.18,0.429,5174.85,5171.125,5206.05,5142.642,1700575600,21501837836
sz399617,深证消费,10287.774,-63.907,-0.617,10351.681,10335.818,10391.246,10209.512,223609499,6935691577
sz399618,深证医药,8917.903,13.645,0.153,8904.258,8912.128,8984.957,8846.712,577901307,14343302344
sz399619,深证金融,5133.534,3.763,0.073,5129.771,5124.906,5149.884,5095.737,866555451,7536845366
sz399620,深证信息,3535.595,86.157,2.498,3449.438,3464.649,3544.539,3443.87,4580140794,88494603755
sz399621,深证电信,3977.243,203.187,5.384,3774.056,3836.853,3992.37,3787.323,870328956,33068137686
sz399622,深证公用,1699.353,28.671,1.716,1670.682,1669.278,1699.353,1667.98,638659292,3896048225
sz399623,中小基础,6317.837,83.223,1.335,6234.614,6239.896,6329.275,6218.221,8155186722,107056415371
sz399624,中创400,1711.955,31.875,1.897,1680.08,1684.011,1716.609,1678.741,7534674231,106983457248
sz399625,中创500,1560.218,20.264,1.316,1539.954,1542.488,1563.974,1535.109,10039829461,177648496674
sz399626,中创成长,1178.533,12.092,1.037,1166.441,1167.694,1181.523,1162.346,2609347613,73332944940
sz399627,中创价值,1835.277,14.876,0.817,1820.401,1819.99,1837.872,1811.659,3370500719,40871111200
sz399628,700成长,1548.231,24.489,1.607,1523.742,1526.929,1552.564,1519.399,2377748667,35811647099
sz399629,700价值,2223.496,25.267,1.149,2198.229,2199.267,2228.128,2190.019,4308197219,34817570511
sz399630,1000成长,1118.79,11.936,1.078,1106.854,1108.075,1121.224,1102.521,6083163756,117628813414
sz399631,1000价值,1853.468,16.097,0.876,1837.371,1838.124,1855.196,1829.764,8618657230,82191698963
sz399632,深100EW,3998.979,40.567,1.025,3958.412,3963.207,4006.083,3945.649,3660388093,88968862929
sz399633,深300EW,4394.484,59.435,1.371,4335.049,4341.757,4402.697,4323.867,9192637340,172180438273
