序号,内部编号,代码,名称,最新价,涨跌额,涨跌幅,今开,最高,最低,昨收,成交量,成交额
288,124,HSABA,恒生A股通大湾区指数,3606.97,17.13,0.48,3589.27,3610.96,3569.73,3589.84,0.0,45310304512.0
289,124,HSBAMZJ,恒生沪深港通大湾区澳珠中江指数,2608.61,12.31,0.47,2597.71,2617.33,2593.78,2596.3,0.0,3927498096.0
290,124,HSSSHSC,恒生沪深港(特选企业)300指数,3120.89,14.67,0.47,3108.08,3132.67,3101.46,3106.22,0.0,225026011136.0
291,124,HSCALCS,恒生A股通低碳精选指数,6419.49,29.91,0.47,6389.99,6427.3,6358.63,6389.58,0.0,213370699776.0
292,124,HSCA300,恒生A股通300指数,3277.63,15.24,0.47,3262.24,3281.22,3246.15,3262.39,0.0,232124252160.0
293,124,HSSCMSI,恒生沪深港通中国动量智选指数,4083.13,18.3,0.45,4069.25,4093.57,4056.55,4064.83,0.0,162632605696.0
294,124,HSSCQSI,恒生沪深港通中国质量智选指数,3840.94,17.2,0.45,3827.01,3853.25,3814.93,3823.74,0.0,170005061632.0
295,125,CES300,中华沪港通300,3781.19,16.89,0.45,3766.88,3795.46,3760.46,3764.3,0.0,207036489728.0
296,124,HSCADII,恒生A股防御行业指数,6266.52,27.79,0.45,6234.59,6274.56,6201.42,6238.73,0.0,56912679680.0
297,124,HSCAHE,恒生A股家庭电器及用品指数,2882.21,12.71,0.44,2866.56,2889.18,2855.39,2869.5,0.0,9562491648.0
298,124,HSCITC,恒生电讯业指数,1379.21,6.0,0.44,1375.23,1397.29,1370.78,1373.21,522806112.0,2472093568.0
299,124,HSSSHGZ,恒生沪深港Z世代指数,2584.19,11.23,0.44,2574.13,2613.85,2574.13,2572.96,0.0,21597270528.0
300,124,HSSCYSI,恒生沪深港通中国股息率智选指数,3663.53,15.9,0.44,3650.43,3675.73,3643.4,3647.63,0.0,139229298688.0
301,124,HSSCTUI,恒生港股通电讯及公用(可投资),2605.15,10.75,0.41,2598.97,2626.08,2595.18,2594.4,0.0,4552215040.0
302,124,HSSSHID,恒生沪深港创新药精选50指数,5153.78,21.14,0.41,5135.16,5199.33,5107.41,5132.64,0.0,15968687104.0
303,124,HSSCTU,恒生港股通电讯及公用事业指数,2594.43,10.38,0.4,2588.49,2615.28,2584.81,2584.05,0.0,4557456640.0
304,124,HSSCB50,恒生沪深港通生物科技50指数,3366.75,12.25,0.37,3354.33,3391.99,3343.01,3354.5,0.0,20118158848.0
305,124,HSSCLCI,恒生沪深港通中国低波幅全选指数,3692.16,13.22,0.36,3680.93,3702.53,3670.15,3678.94,0.0,264959582208.0
306,124,HSDII,恒生防御行业指数,3196.56,11.09,0.35,3192.4,3241.25,3192.4,3185.47,0.0,20111602176.0
307,124,HSC50,恒生神州50指数,6063.71,20.43,0.34,6045.36,6098.1,6030.01,6043.28,0.0,12211082752.0
308,124,HSBAF,恒生沪深港通大湾区金融业指数,2603.09,8.71,0.34,2595.33,2617.47,2593.67,2594.38,0.0,9832320256.0
309,124,HSNCON,恒生新消费指数,3303.25,9.86,0.3,3297.18,3353.19,3294.61,3293.39,0.0,17207724288.0
310,124,HSBAHK,恒生沪深港通大湾区香港指数,2439.72,7.14,0.29,2428.11,2452.51,2428.11,2432.58,0.0,3819758368.0
311,124,HSCAAI,恒生A股汽车指数,5047.59,14.52,0.29,5026.97,5059.4,5001.13,5033.07,0.0,16540679936.0
312,124,HSCIIT,恒生资讯科技业指数,8131.31,23.28,0.29,8124.4,8261.3,8108.33,8108.03,933749312.0,16988808704.0
313,124,HSCAIT,恒生A股行业龙头指数,4507.66,11.97,0.27,4490.94,4511.27,4468.57,4495.69,0.0,73411043328.0
